"Site","Date","Type","Analysis","count","year","month","day","DOY","notes"
"Bay Intake",2016-04-22,"Chlorophyll","avg_chl",30.95,2016,4,22,113,""
"Bay Intake",2016-04-22,"Chlorophyll sd","sd_chl",3.04019736201451,2016,4,22,113,""
"Bay Intake",2016-05-19,"Chlorophyll","avg_chl",17.0833333333333,2016,5,19,140,""
"Bay Intake",2016-05-19,"Chlorophyll sd","sd_chl",0.575181130891246,2016,5,19,140,""
"Bay Intake",2016-05-30,"Chlorophyll","avg_chl",12.45,2016,5,30,151,""
"Bay Intake",2016-05-30,"Chlorophyll sd","sd_chl",3.67695526217005,2016,5,30,151,""
"Bay Intake",2016-05-09,"Chlorophyll","avg_chl",17.4833333333333,2016,5,9,130,""
"Bay Intake",2016-05-09,"Chlorophyll sd","sd_chl",1.88797069186292,2016,5,9,130,""
"Bells",2016-06-15,"Chlorophyll","avg_chl",11.4366666666667,2016,6,15,167,""
"Bells",2016-06-15,"Chlorophyll sd","sd_chl",0.959183680706325,2016,6,15,167,""
"Bells",2016-06-22,"Chlorophyll","avg_chl",5.80333333333333,2016,6,22,174,""
"Bells",2016-06-22,"Chlorophyll sd","sd_chl",1.37143477181138,2016,6,22,174,""
"Bells",2016-07-11,"Chlorophyll","avg_chl",6.23,2016,7,11,193,""
"Bells",2016-07-11,"Chlorophyll sd","sd_chl",1.0105938848024,2016,7,11,193,""
"Bells",2016-07-25,"Chlorophyll","avg_chl",4.8,2016,7,25,207,""
"Bells",2016-07-25,"Chlorophyll sd","sd_chl",0.542862781925599,2016,7,25,207,""
"Bells",2016-07-27,"Chlorophyll","avg_chl",4.9,2016,7,27,209,""
"Bells",2016-07-27,"Chlorophyll sd","sd_chl",0.96938124595022,2016,7,27,209,""
"Bells",2016-07-06,"Chlorophyll","avg_chl",10.81,2016,7,6,188,""
"Bells",2016-07-06,"Chlorophyll sd","sd_chl",5.0683231941146,2016,7,6,188,""
"Bells",2016-08-17,"Chlorophyll","avg_chl",6.15666666666667,2016,8,17,230,""
"Bells",2016-08-17,"Chlorophyll sd","sd_chl",2.53055988534817,2016,8,17,230,""
"Bells",2016-08-03,"Chlorophyll","avg_chl",5.70333333333333,2016,8,3,216,""
"Bells",2016-08-03,"Chlorophyll sd","sd_chl",0.570116947067295,2016,8,3,216,""
"Bells",2016-08-31,"Chlorophyll","avg_chl",12.18,2016,8,31,244,""
"Bells",2016-08-31,"Chlorophyll sd","sd_chl",1.12467773161915,2016,8,31,244,""
"Clemons",2016-04-22,"Chlorophyll","avg_chl",44.2833333333333,2016,4,22,113,""
"Clemons",2016-04-22,"Chlorophyll sd","sd_chl",2.57643810974247,2016,4,22,113,""
"Clemons",2016-04-30,"Chlorophyll","avg_chl",53.7766666666667,2016,4,30,121,""
"Clemons",2016-04-30,"Chlorophyll sd","sd_chl",4.42503483978752,2016,4,30,121,""
"Clemons",2016-05-19,"Chlorophyll","avg_chl",31.1333333333333,2016,5,19,140,""
"Clemons",2016-05-19,"Chlorophyll sd","sd_chl",2.78851812497845,2016,5,19,140,""
"Clemons",2016-05-30,"Chlorophyll","avg_chl",11.4833333333333,2016,5,30,151,""
"Clemons",2016-05-30,"Chlorophyll sd","sd_chl",2.70015431657773,2016,5,30,151,""
"Clemons",2016-05-09,"Chlorophyll","avg_chl",40.52,2016,5,9,130,""
"Clemons",2016-05-09,"Chlorophyll sd","sd_chl",5.99302094106136,2016,5,9,130,""
"EC_1163",2016-06-15,"Chlorophyll","avg_chl",10.39,2016,6,15,167,""
"EC_1163",2016-06-15,"Chlorophyll sd","sd_chl",2.27769620450138,2016,6,15,167,""
"EC_1163",2016-06-22,"Chlorophyll","avg_chl",4.17,2016,6,22,174,""
"EC_1163",2016-06-22,"Chlorophyll sd","sd_chl",0.685054742338158,2016,6,22,174,""
"EC_1163",2016-07-11,"Chlorophyll","avg_chl",18.4,2016,7,11,193,""
"EC_1163",2016-07-11,"Chlorophyll sd","sd_chl",5.94187680787813,2016,7,11,193,""
"EC_1163",2016-07-25,"Chlorophyll","avg_chl",40.5266666666667,2016,7,25,207,""
"EC_1163",2016-07-25,"Chlorophyll sd","sd_chl",5.32015350655724,2016,7,25,207,""
"EC_1163",2016-07-27,"Chlorophyll","avg_chl",41.9666666666667,2016,7,27,209,""
"EC_1163",2016-07-27,"Chlorophyll sd","sd_chl",3.31285878560094,2016,7,27,209,""
"EC_1163",2016-07-06,"Chlorophyll","avg_chl",9.64,2016,7,6,188,""
"EC_1163",2016-07-06,"Chlorophyll sd","sd_chl",2.64289613870844,2016,7,6,188,""
"EC_1163",2016-08-17,"Chlorophyll","avg_chl",23.91,2016,8,17,230,""
"EC_1163",2016-08-17,"Chlorophyll sd","sd_chl",4.148337016203,2016,8,17,230,""
"EC_1163",2016-08-03,"Chlorophyll","avg_chl",18.2733333333333,2016,8,3,216,""
"EC_1163",2016-08-03,"Chlorophyll sd","sd_chl",2.54419600922046,2016,8,3,216,""
"EC_1163",2016-08-31,"Chlorophyll","avg_chl",16.4433333333333,2016,8,31,244,""
"EC_1163",2016-08-31,"Chlorophyll sd","sd_chl",0.466082968293558,2016,8,31,244,""
"Intake",2016-05-30,"Chlorophyll","avg_chl",16.1,2016,5,30,151,""
"Intake",2016-05-30,"Chlorophyll sd","sd_chl",NA,2016,5,30,151,""
"ODNR_1",2016-06-15,"Chlorophyll","avg_chl",12.1366666666667,2016,6,15,167,""
"ODNR_1",2016-06-15,"Chlorophyll sd","sd_chl",0.593660958235703,2016,6,15,167,""
"ODNR_1",2016-06-22,"Chlorophyll","avg_chl",6.29666666666667,2016,6,22,174,""
"ODNR_1",2016-06-22,"Chlorophyll sd","sd_chl",1.82022892333171,2016,6,22,174,""
"ODNR_1",2016-07-11,"Chlorophyll","avg_chl",18.5933333333333,2016,7,11,193,""
"ODNR_1",2016-07-11,"Chlorophyll sd","sd_chl",2.29643927272927,2016,7,11,193,""
"ODNR_1",2016-07-25,"Chlorophyll","avg_chl",47.8666666666667,2016,7,25,207,""
"ODNR_1",2016-07-25,"Chlorophyll sd","sd_chl",3.33215145714197,2016,7,25,207,""
"ODNR_1",2016-07-27,"Chlorophyll","avg_chl",39.82,2016,7,27,209,""
"ODNR_1",2016-07-27,"Chlorophyll sd","sd_chl",2.86419273094532,2016,7,27,209,""
"ODNR_1",2016-07-06,"Chlorophyll","avg_chl",12.57,2016,7,6,188,""
"ODNR_1",2016-07-06,"Chlorophyll sd","sd_chl",1.67071840835013,2016,7,6,188,""
"ODNR_1",2016-08-17,"Chlorophyll","avg_chl",38.9766666666667,2016,8,17,230,""
"ODNR_1",2016-08-17,"Chlorophyll sd","sd_chl",13.8796013391356,2016,8,17,230,""
"ODNR_1",2016-08-03,"Chlorophyll","avg_chl",21.32,2016,8,3,216,""
"ODNR_1",2016-08-03,"Chlorophyll sd","sd_chl",0.466797600679353,2016,8,3,216,""
"ODNR_1",2016-08-31,"Chlorophyll","avg_chl",20.7033333333333,2016,8,31,244,""
"ODNR_1",2016-08-31,"Chlorophyll sd","sd_chl",1.27735403601873,2016,8,31,244,""
"ODNR_2",2016-06-15,"Chlorophyll","avg_chl",4.49333333333333,2016,6,15,167,""
"ODNR_2",2016-06-15,"Chlorophyll sd","sd_chl",2.04101282047255,2016,6,15,167,""
"ODNR_2",2016-06-22,"Chlorophyll","avg_chl",4.17333333333333,2016,6,22,174,""
"ODNR_2",2016-06-22,"Chlorophyll sd","sd_chl",1.36514956445561,2016,6,22,174,""
"ODNR_2",2016-07-11,"Chlorophyll","avg_chl",38.55,2016,7,11,193,""
"ODNR_2",2016-07-11,"Chlorophyll sd","sd_chl",1.35532283976918,2016,7,11,193,""
"ODNR_2",2016-07-25,"Chlorophyll","avg_chl",65.5066666666667,2016,7,25,207,""
"ODNR_2",2016-07-25,"Chlorophyll sd","sd_chl",1.62238507553951,2016,7,25,207,""
"ODNR_2",2016-07-27,"Chlorophyll","avg_chl",35.17,2016,7,27,209,""
"ODNR_2",2016-07-27,"Chlorophyll sd","sd_chl",3.28236195444683,2016,7,27,209,""
"ODNR_2",2016-07-06,"Chlorophyll","avg_chl",18.1,2016,7,6,188,""
"ODNR_2",2016-07-06,"Chlorophyll sd","sd_chl",1.58426639174099,2016,7,6,188,""
"ODNR_2",2016-08-17,"Chlorophyll","avg_chl",53.9133333333333,2016,8,17,230,""
"ODNR_2",2016-08-17,"Chlorophyll sd","sd_chl",8.64265198497159,2016,8,17,230,""
"ODNR_2",2016-08-03,"Chlorophyll","avg_chl",NA,2016,8,3,216,""
"ODNR_2",2016-08-03,"Chlorophyll sd","sd_chl",NA,2016,8,3,216,""
"ODNR_2",2016-08-31,"Chlorophyll","avg_chl",30.8966666666667,2016,8,31,244,""
"ODNR_2",2016-08-31,"Chlorophyll sd","sd_chl",3.0159630855389,2016,8,31,244,""
"ODNR_4",2016-06-15,"Chlorophyll","avg_chl",21.0433333333333,2016,6,15,167,""
"ODNR_4",2016-06-15,"Chlorophyll sd","sd_chl",12.7030875511953,2016,6,15,167,""
"ODNR_4",2016-06-22,"Chlorophyll","avg_chl",39.42,2016,6,22,174,""
"ODNR_4",2016-06-22,"Chlorophyll sd","sd_chl",5.90365988180213,2016,6,22,174,""
"ODNR_4",2016-07-11,"Chlorophyll","avg_chl",39.2933333333333,2016,7,11,193,""
"ODNR_4",2016-07-11,"Chlorophyll sd","sd_chl",15.315516097518,2016,7,11,193,""
"ODNR_4",2016-07-25,"Chlorophyll","avg_chl",37.2833333333333,2016,7,25,207,""
"ODNR_4",2016-07-25,"Chlorophyll sd","sd_chl",5.08566940857674,2016,7,25,207,""
"ODNR_4",2016-07-27,"Chlorophyll","avg_chl",41.8333333333333,2016,7,27,209,""
"ODNR_4",2016-07-27,"Chlorophyll sd","sd_chl",4.69474528950542,2016,7,27,209,""
"ODNR_4",2016-07-06,"Chlorophyll","avg_chl",65.7933333333333,2016,7,6,188,""
"ODNR_4",2016-07-06,"Chlorophyll sd","sd_chl",4.7351064753956,2016,7,6,188,""
"ODNR_4",2016-08-17,"Chlorophyll","avg_chl",113.053333333333,2016,8,17,230,""
"ODNR_4",2016-08-17,"Chlorophyll sd","sd_chl",3.71868704428503,2016,8,17,230,""
"ODNR_4",2016-08-03,"Chlorophyll","avg_chl",48.12,2016,8,3,216,""
"ODNR_4",2016-08-03,"Chlorophyll sd","sd_chl",5.40822521720388,2016,8,3,216,""
"ODNR_4",2016-08-31,"Chlorophyll","avg_chl",48.9066666666667,2016,8,31,244,""
"ODNR_4",2016-08-31,"Chlorophyll sd","sd_chl",7.42293966925054,2016,8,31,244,""
"ODNR_6",2016-06-15,"Chlorophyll","avg_chl",11.8566666666667,2016,6,15,167,""
"ODNR_6",2016-06-15,"Chlorophyll sd","sd_chl",3.6153884069811,2016,6,15,167,""
"ODNR_6",2016-06-22,"Chlorophyll","avg_chl",8.86666666666667,2016,6,22,174,""
"ODNR_6",2016-06-22,"Chlorophyll sd","sd_chl",0.522525916422653,2016,6,22,174,""
"ODNR_6",2016-07-11,"Chlorophyll","avg_chl",41.14,2016,7,11,193,""
"ODNR_6",2016-07-11,"Chlorophyll sd","sd_chl",7.18826126403319,2016,7,11,193,""
"ODNR_6",2016-07-25,"Chlorophyll","avg_chl",31.4333333333333,2016,7,25,207,""
"ODNR_6",2016-07-25,"Chlorophyll sd","sd_chl",9.51572032656137,2016,7,25,207,""
"ODNR_6",2016-07-27,"Chlorophyll","avg_chl",40.9433333333333,2016,7,27,209,""
"ODNR_6",2016-07-27,"Chlorophyll sd","sd_chl",4.75446456852224,2016,7,27,209,""
"ODNR_6",2016-07-06,"Chlorophyll","avg_chl",15.5833333333333,2016,7,6,188,""
"ODNR_6",2016-07-06,"Chlorophyll sd","sd_chl",1.58152879623905,2016,7,6,188,""
"ODNR_6",2016-08-17,"Chlorophyll","avg_chl",71.69,2016,8,17,230,""
"ODNR_6",2016-08-17,"Chlorophyll sd","sd_chl",11.6661604652088,2016,8,17,230,""
"ODNR_6",2016-08-03,"Chlorophyll","avg_chl",38.1466666666667,2016,8,3,216,""
"ODNR_6",2016-08-03,"Chlorophyll sd","sd_chl",2.05310334209784,2016,8,3,216,""
"ODNR_6",2016-08-31,"Chlorophyll","avg_chl",52.7733333333333,2016,8,31,244,""
"ODNR_6",2016-08-31,"Chlorophyll sd","sd_chl",9.13211001539805,2016,8,31,244,""
"Sandusky River",2016-04-22,"Chlorophyll","avg_chl",63.1566666666667,2016,4,22,113,""
"Sandusky River",2016-04-22,"Chlorophyll sd","sd_chl",3.34165128841017,2016,4,22,113,""
"Sandusky River",2016-05-19,"Chlorophyll","avg_chl",2.75,2016,5,19,140,""
"Sandusky River",2016-05-19,"Chlorophyll sd","sd_chl",0.721110255092798,2016,5,19,140,""
"Sandusky River",2016-05-30,"Chlorophyll","avg_chl",69.6666666666667,2016,5,30,151,""
"Sandusky River",2016-05-30,"Chlorophyll sd","sd_chl",21.3652950677807,2016,5,30,151,""
"Sandusky River",2016-05-09,"Chlorophyll","avg_chl",26.2133333333333,2016,5,9,130,""
"Sandusky River",2016-05-09,"Chlorophyll sd","sd_chl",21.6076313679527,2016,5,9,130,""
"Bells",2017-06-19,"Chlorophyll","avg_chl",23.6233333333333,2017,6,19,170,""
"Bells",2017-06-19,"Chlorophyll sd","sd_chl",6.23896091775973,2017,6,19,170,""
"Bells",2017-06-21,"Chlorophyll","avg_chl",NA,2017,6,21,172,""
"Bells",2017-06-21,"Chlorophyll sd","sd_chl",NA,2017,6,21,172,""
"Bells",2017-06-26,"Chlorophyll","avg_chl",44.79,2017,6,26,177,""
"Bells",2017-06-26,"Chlorophyll sd","sd_chl",1.20199833610534,2017,6,26,177,""
"Bells",2017-06-05,"Chlorophyll","avg_chl",5.83,2017,6,5,156,""
"Bells",2017-06-05,"Chlorophyll sd","sd_chl",2.25166604983954,2017,6,5,156,""
"Bells",2017-07-17,"Chlorophyll","avg_chl",15.92,2017,7,17,198,""
"Bells",2017-07-17,"Chlorophyll sd","sd_chl",1.55396267651446,2017,7,17,198,""
"Bells",2017-07-31,"Chlorophyll","avg_chl",13.08,2017,7,31,212,""
"Bells",2017-07-31,"Chlorophyll sd","sd_chl",1.11449540151586,2017,7,31,212,""
"Bells",2017-08-14,"Chlorophyll","avg_chl",11.23,2017,8,14,226,""
"Bells",2017-08-14,"Chlorophyll sd","sd_chl",0.631506136153878,2017,8,14,226,""
"Bells",2017-08-28,"Chlorophyll","avg_chl",14.9166666666667,2017,8,28,240,""
"Bells",2017-08-28,"Chlorophyll sd","sd_chl",2.41406986919048,2017,8,28,240,""
"Bridge",2017-06-19,"Chlorophyll","avg_chl",37.82,2017,6,19,170,""
"Bridge",2017-06-19,"Chlorophyll sd","sd_chl",3.05398100845438,2017,6,19,170,""
"Bridge",2017-06-21,"Chlorophyll","avg_chl",NA,2017,6,21,172,""
"Bridge",2017-06-21,"Chlorophyll sd","sd_chl",NA,2017,6,21,172,""
"Bridge",2017-06-26,"Chlorophyll","avg_chl",70.3766666666667,2017,6,26,177,""
"Bridge",2017-06-26,"Chlorophyll sd","sd_chl",6.87791635114395,2017,6,26,177,""
"Bridge",2017-06-05,"Chlorophyll","avg_chl",30.4733333333333,2017,6,5,156,""
"Bridge",2017-06-05,"Chlorophyll sd","sd_chl",4.19830124375721,2017,6,5,156,""
"Bridge",2017-07-17,"Chlorophyll","avg_chl",120.55,2017,7,17,198,""
"Bridge",2017-07-17,"Chlorophyll sd","sd_chl",17.1930887277417,2017,7,17,198,""
"Bridge",2017-07-31,"Chlorophyll","avg_chl",129.883333333333,2017,7,31,212,""
"Bridge",2017-07-31,"Chlorophyll sd","sd_chl",5.84825900019257,2017,7,31,212,""
"Bridge",2017-08-14,"Chlorophyll","avg_chl",40.1766666666667,2017,8,14,226,""
"Bridge",2017-08-14,"Chlorophyll sd","sd_chl",5.29890869267751,2017,8,14,226,""
"Bridge",2017-08-28,"Chlorophyll","avg_chl",38.7666666666667,2017,8,28,240,""
"Bridge",2017-08-28,"Chlorophyll sd","sd_chl",4.04554487471507,2017,8,28,240,""
"Buoy_2",2017-06-19,"Chlorophyll","avg_chl",30.8566666666667,2017,6,19,170,""
"Buoy_2",2017-06-19,"Chlorophyll sd","sd_chl",6.07230873172085,2017,6,19,170,""
"Buoy_2",2017-06-21,"Chlorophyll","avg_chl",41.0133333333333,2017,6,21,172,""
"Buoy_2",2017-06-21,"Chlorophyll sd","sd_chl",6.8869248096181,2017,6,21,172,""
"Buoy_2",2017-06-26,"Chlorophyll","avg_chl",NA,2017,6,26,177,""
"Buoy_2",2017-06-26,"Chlorophyll sd","sd_chl",NA,2017,6,26,177,""
"Buoy_2",2017-06-05,"Chlorophyll","avg_chl",20.6933333333333,2017,6,5,156,""
"Buoy_2",2017-06-05,"Chlorophyll sd","sd_chl",1.9714546237064,2017,6,5,156,""
"Buoy_2",2017-07-17,"Chlorophyll","avg_chl",155.753333333333,2017,7,17,198,""
"Buoy_2",2017-07-17,"Chlorophyll sd","sd_chl",9.30118451237977,2017,7,17,198,""
"Buoy_2",2017-07-31,"Chlorophyll","avg_chl",89.4136666666667,2017,7,31,212,""
"Buoy_2",2017-07-31,"Chlorophyll sd","sd_chl",15.976411685148,2017,7,31,212,""
"Buoy_2",2017-08-14,"Chlorophyll","avg_chl",12.36,2017,8,14,226,""
"Buoy_2",2017-08-14,"Chlorophyll sd","sd_chl",1.47712558707782,2017,8,14,226,""
"Buoy_2",2017-08-28,"Chlorophyll","avg_chl",21.86,2017,8,28,240,""
"Buoy_2",2017-08-28,"Chlorophyll sd","sd_chl",1.804854564778,2017,8,28,240,""
"EC_1163",2017-06-19,"Chlorophyll","avg_chl",12.05,2017,6,19,170,""
"EC_1163",2017-06-19,"Chlorophyll sd","sd_chl",2.63057028037648,2017,6,19,170,""
"EC_1163",2017-06-21,"Chlorophyll","avg_chl",18.1266666666667,2017,6,21,172,""
"EC_1163",2017-06-21,"Chlorophyll sd","sd_chl",2.11731748524715,2017,6,21,172,""
"EC_1163",2017-06-26,"Chlorophyll","avg_chl",23.9166666666667,2017,6,26,177,""
"EC_1163",2017-06-26,"Chlorophyll sd","sd_chl",4.52195016926694,2017,6,26,177,""
"EC_1163",2017-06-05,"Chlorophyll","avg_chl",22.7566666666667,2017,6,5,156,""
"EC_1163",2017-06-05,"Chlorophyll sd","sd_chl",6.75103942614271,2017,6,5,156,""
"EC_1163",2017-07-17,"Chlorophyll","avg_chl",108.753333333333,2017,7,17,198,""
"EC_1163",2017-07-17,"Chlorophyll sd","sd_chl",11.7515204690003,2017,7,17,198,""
"EC_1163",2017-07-31,"Chlorophyll","avg_chl",58.5466666666667,2017,7,31,212,""
"EC_1163",2017-07-31,"Chlorophyll sd","sd_chl",0.947065643624206,2017,7,31,212,""
"EC_1163",2017-08-14,"Chlorophyll","avg_chl",50.1333333333333,2017,8,14,226,""
"EC_1163",2017-08-14,"Chlorophyll sd","sd_chl",3.74552177050586,2017,8,14,226,""
"EC_1163",2017-08-28,"Chlorophyll","avg_chl",40.24,2017,8,28,240,""
"EC_1163",2017-08-28,"Chlorophyll sd","sd_chl",2.09007176910268,2017,8,28,240,""
"ODNR_1",2017-06-19,"Chlorophyll","avg_chl",52.55,2017,6,19,170,""
"ODNR_1",2017-06-19,"Chlorophyll sd","sd_chl",10.7271757699779,2017,6,19,170,""
"ODNR_1",2017-06-21,"Chlorophyll","avg_chl",NA,2017,6,21,172,""
"ODNR_1",2017-06-21,"Chlorophyll sd","sd_chl",NA,2017,6,21,172,""
"ODNR_1",2017-06-26,"Chlorophyll","avg_chl",36.5833333333333,2017,6,26,177,""
"ODNR_1",2017-06-26,"Chlorophyll sd","sd_chl",6.88909524780528,2017,6,26,177,""
"ODNR_1",2017-06-05,"Chlorophyll","avg_chl",49.4233333333333,2017,6,5,156,""
"ODNR_1",2017-06-05,"Chlorophyll sd","sd_chl",8.84845937626056,2017,6,5,156,""
"ODNR_1",2017-07-17,"Chlorophyll","avg_chl",130.236666666667,2017,7,17,198,""
"ODNR_1",2017-07-17,"Chlorophyll sd","sd_chl",27.6293400813942,2017,7,17,198,""
"ODNR_1",2017-07-31,"Chlorophyll","avg_chl",65.0066666666667,2017,7,31,212,""
"ODNR_1",2017-07-31,"Chlorophyll sd","sd_chl",6.70141278637075,2017,7,31,212,""
"ODNR_1",2017-08-14,"Chlorophyll","avg_chl",56.1133333333333,2017,8,14,226,""
"ODNR_1",2017-08-14,"Chlorophyll sd","sd_chl",9.55412127478678,2017,8,14,226,""
"ODNR_1",2017-08-28,"Chlorophyll","avg_chl",40.5266666666667,2017,8,28,240,""
"ODNR_1",2017-08-28,"Chlorophyll sd","sd_chl",0.660176744011277,2017,8,28,240,""
"ODNR_2",2017-06-19,"Chlorophyll","avg_chl",39.21,2017,6,19,170,""
"ODNR_2",2017-06-19,"Chlorophyll sd","sd_chl",21.8431476669458,2017,6,19,170,""
"ODNR_2",2017-06-21,"Chlorophyll","avg_chl",NA,2017,6,21,172,""
"ODNR_2",2017-06-21,"Chlorophyll sd","sd_chl",NA,2017,6,21,172,""
"ODNR_2",2017-06-26,"Chlorophyll","avg_chl",60.6933333333333,2017,6,26,177,""
"ODNR_2",2017-06-26,"Chlorophyll sd","sd_chl",36.2160963293027,2017,6,26,177,""
"ODNR_2",2017-06-05,"Chlorophyll","avg_chl",48.0466666666667,2017,6,5,156,""
"ODNR_2",2017-06-05,"Chlorophyll sd","sd_chl",7.12404613498069,2017,6,5,156,""
"ODNR_2",2017-07-17,"Chlorophyll","avg_chl",96.2266666666667,2017,7,17,198,""
"ODNR_2",2017-07-17,"Chlorophyll sd","sd_chl",12.4202831422369,2017,7,17,198,""
"ODNR_2",2017-07-31,"Chlorophyll","avg_chl",137.533333333333,2017,7,31,212,""
"ODNR_2",2017-07-31,"Chlorophyll sd","sd_chl",2.80030950670338,2017,7,31,212,""
"ODNR_2",2017-08-14,"Chlorophyll","avg_chl",57.92,2017,8,14,226,""
"ODNR_2",2017-08-14,"Chlorophyll sd","sd_chl",4.14019323220547,2017,8,14,226,""
"ODNR_2",2017-08-28,"Chlorophyll","avg_chl",31.2566666666667,2017,8,28,240,""
"ODNR_2",2017-08-28,"Chlorophyll sd","sd_chl",5.16737199486676,2017,8,28,240,""
"ODNR_4",2017-06-19,"Chlorophyll","avg_chl",NA,2017,6,19,170,""
"ODNR_4",2017-06-19,"Chlorophyll sd","sd_chl",NA,2017,6,19,170,""
"ODNR_4",2017-06-21,"Chlorophyll","avg_chl",NA,2017,6,21,172,""
"ODNR_4",2017-06-21,"Chlorophyll sd","sd_chl",NA,2017,6,21,172,""
